consent_key.keys,consent_key.rt,intro_key_2.keys,intro_key_2.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,keyTraining.keys,keyTraining.corr,practiceloop.thisRepN,practiceloop.thisTrialN,practiceloop.thisN,practiceloop.thisIndex,practiceloop.ran,s11,s1_1,s12,s22,s13,s23,s33,s14,s24,s34,s44,s15,s25,s35,s45,s55,t11,t1_1,t12,t22,t13,t23,t33,t14,t24,t34,t44,t15,t25,t35,t45,t55,corrans,study,o11,o1_1,o12,o22,o13,o23,o33,o14,o24,o34,o44,o15,o25,o35,o45,o55,ot11,ot1_1,ot12,ot22,ot13,ot23,ot33,ot14,ot24,ot34,ot44,ot15,ot25,ot35,ot45,ot55,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,keyTraining.rt,key_resp_2.keys,key_resp_2.rt,key_resp.keys,key_resp.corr,key_resp.rt,testloop.thisRepN,testloop.thisTrialN,testloop.thisN,testloop.thisIndex,testloop.ran,setsize,key_resp_3.keys,key_resp_3.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/03impossible.bmp,images/03impossible.bmp,images/03impossible.bmp,images/03impossible.bmp,images/03impossible.bmp,,,,,,,,,,,,,,,,images/03impossible.bmp,d,impossible,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,0,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,603914a2ed55293204edf74e,60464aa8f328310e36e2de68,2021-03-08_16h04.04.417,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,,s,0,1.063875,0,14,14,102,1,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/03impossible.bmp,images/03impossible.bmp,images/03impossible.bmp,images/03impossible.bmp,images/03impossible.bmp,,,,,,,,,,,,,images/03impossible.bmp,,,,s,impossible,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,603914a2ed55293204edf74e,60464aa8f328310e36e2de68,2021-03-08_16h04.04.417,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,,s,1,2.847805,0,15,15,96,1,5,,
,,,,,,,,,,,,,,,,,,,,images/55possible.bmp,,,,,,,,,,,,,,,,images/55possible.bmp,,,,,,,,,,,,,,,s,possible,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,603914a2ed55293204edf74e,60464aa8f328310e36e2de68,2021-03-08_16h04.04.417,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,,s,1,0.961015,0,16,16,15,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,images/24impossible.bmp,images/24impossible.bmp,images/24impossible.bmp,,,,,,,,,,,,,,,images/24impossible.bmp,,,,,,,,,,,d,impossible,0,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,288,288,216,144,72,0,288,216,144,72,0,288,216,144,72,0,603914a2ed55293204edf74e,60464aa8f328310e36e2de68,2021-03-08_16h04.04.417,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,,s,0,1.286085,0,17,17,58,1,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/08impossible.bmp,images/08impossible.bmp,images/08impossible.bmp,images/08impossible.bmp,images/08impossible.bmp,,,,,,,,,,,,,,,,images/08impossible.bmp,s,impossible,288,288,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,288,216,144,72,0,288,216,144,72,0,288,216,144,72,0,603914a2ed55293204edf74e,60464aa8f328310e36e2de68,2021-03-08_16h04.04.417,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,,s,1,1.61346,0,18,18,98,1,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,images/42impossible.bmp,images/42impossible.bmp,images/42impossible.bmp,images/42impossible.bmp,,,,,,,,,,,,,,,,images/42impossible.bmp,,,,,,d,impossible,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,603914a2ed55293204edf74e,60464aa8f328310e36e2de68,2021-03-08_16h04.04.417,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,,s,0,2.95061,0,19,19,91,1,4,,
,,,,,,,,,,,,,,,,,,,,,images/65impossible.bmp,images/65impossible.bmp,,,,,,,,,,,,,,,images/65impossible.bmp,,,,,,,,,,,,,,s,impossible,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,603914a2ed55293204edf74e,60464aa8f328310e36e2de68,2021-03-08_16h04.04.417,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,,s,1,0.93904,0,20,20,40,1,2,,
,,,,,,,,,,,,,,,,,,,,,images/03possible.bmp,images/03possible.bmp,,,,,,,,,,,,,,,images/03possible.bmp,,,,,,,,,,,,,,d,possible,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,0,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,603914a2ed55293204edf74e,60464aa8f328310e36e2de68,2021-03-08_16h04.04.417,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,,d,1,1.128445,0,21,21,30,1,2,,
,,,,,,,,,,,,,,,,,,,images/55possible.bmp,,,,,,,,,,,,,,,,images/55possible.bmp,,,,,,,,,,,,,,,,d,possible,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,0,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,603914a2ed55293204edf74e,60464aa8f328310e36e2de68,2021-03-08_16h04.04.417,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,,d,1,1.160645,0,22,22,21,1,1,,
,,,,,,,,,,,,,,,,,,,,images/25impossible.bmp,,,,,,,,,,,,,,,,images/25impossible.bmp,,,,,,,,,,,,,,,d,impossible,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,0,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,603914a2ed55293204edf74e,60464aa8f328310e36e2de68,2021-03-08_16h04.04.417,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,,d,1,1.444875,0,23,23,11,1,1,,
