consent_key.keys,consent_key.rt,intro_key_2.keys,intro_key_2.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,keyTraining.keys,keyTraining.corr,keyTraining.rt,practiceloop.thisRepN,practiceloop.thisTrialN,practiceloop.thisN,practiceloop.thisIndex,practiceloop.ran,s11,s1_1,s12,s22,s13,s23,s33,s14,s24,s34,s44,s15,s25,s35,s45,s55,t11,t1_1,t12,t22,t13,t23,t33,t14,t24,t34,t44,t15,t25,t35,t45,t55,corrans,study,o11,o1_1,o12,o22,o13,o23,o33,o14,o24,o34,o44,o15,o25,o35,o45,o55,ot11,ot1_1,ot12,ot22,ot13,ot23,ot33,ot14,ot24,ot34,ot44,ot15,ot25,ot35,ot45,ot55,participant,session,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,key_resp_2.keys,key_resp_2.rt,key_resp.keys,key_resp.corr,key_resp.rt,testloop.thisRepN,testloop.thisTrialN,testloop.thisN,testloop.thisIndex,testloop.ran,setsize,key_resp_3.keys,key_resp_3.rt
,,,,,,,,,,,,,,,,,,,,,,images/65impossible.bmp,images/65impossible.bmp,,,,,,,,,,,,,,,images/65impossible.bmp,,,,,,,,,,,,,,d,impossible,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,5f639b571cb2830a931bc80e,60464aa8c5672f0eaf45dbc0,2021-03-08_16h04.37.448,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,d,1,1.347275,0,20,20,46,1,2,,
,,,,,,,,,,,,,,,,,,,,,images/08impossible.bmp,,,,,,,,,,,,,,,,images/08impossible.bmp,,,,,,,,,,,,,,,s,impossible,288,288,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,288,216,144,72,0,288,216,144,72,0,288,216,144,72,0,5f639b571cb2830a931bc80e,60464aa8c5672f0eaf45dbc0,2021-03-08_16h04.37.448,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,s,1,1.15169,0,21,21,2,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,images/38possible.bmp,images/38possible.bmp,images/38possible.bmp,,,,,,,,,,,,,,,images/38possible.bmp,,,,,,,,,,,s,possible,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,5f639b571cb2830a931bc80e,60464aa8c5672f0eaf45dbc0,2021-03-08_16h04.37.448,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,s,1,1.317025,0,22,22,60,1,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/38possible.bmp,images/38possible.bmp,images/38possible.bmp,images/38possible.bmp,images/38possible.bmp,,,,,,,,,,,,,,,,images/38possible.bmp,d,possible,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,0,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,5f639b571cb2830a931bc80e,60464aa8c5672f0eaf45dbc0,2021-03-08_16h04.37.448,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,d,1,0.92871,0,23,23,114,1,5,,
,,,,,,,,,,,,,,,,,,,,,,images/22possible.bmp,images/22possible.bmp,,,,,,,,,,,,,,,,images/22possible.bmp,,,,,,,,,,,,,d,possible,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,5f639b571cb2830a931bc80e,60464aa8c5672f0eaf45dbc0,2021-03-08_16h04.37.448,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,d,1,1.880195,0,24,24,33,1,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,images/65impossible.bmp,images/65impossible.bmp,images/65impossible.bmp,images/65impossible.bmp,,,,,,,,,,,,,,,images/65impossible.bmp,,,,,,,d,impossible,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,5f639b571cb2830a931bc80e,60464aa8c5672f0eaf45dbc0,2021-03-08_16h04.37.448,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,s,0,0.428325,0,25,25,94,1,4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/08impossible.bmp,images/08impossible.bmp,images/08impossible.bmp,images/08impossible.bmp,images/08impossible.bmp,,,,,,,,,,,,,images/08impossible.bmp,,,,d,impossible,288,288,216,144,72,0,288,216,144,72,0,288,216,144,72,0,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,5f639b571cb2830a931bc80e,60464aa8c5672f0eaf45dbc0,2021-03-08_16h04.37.448,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,d,1,0.3814,0,26,26,104,1,5,,
,,,,,,,,,,,,,,,,,,,,,,,,images/55possible.bmp,images/55possible.bmp,images/55possible.bmp,,,,,,,,,,,,,,,images/55possible.bmp,,,,,,,,,,,d,possible,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,0,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,5f639b571cb2830a931bc80e,60464aa8c5672f0eaf45dbc0,2021-03-08_16h04.37.448,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,d,1,1.43836,0,27,27,69,1,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,images/38impossible.bmp,images/38impossible.bmp,images/38impossible.bmp,images/38impossible.bmp,,,,,,,,,,,,,,,images/38impossible.bmp,,,,,,,d,impossible,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,0,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,5f639b571cb2830a931bc80e,60464aa8c5672f0eaf45dbc0,2021-03-08_16h04.37.448,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,d,1,0.95923,0,28,28,90,1,4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/69possible.bmp,images/69possible.bmp,images/69possible.bmp,images/69possible.bmp,images/69possible.bmp,,,,,,,,,,,,,,images/69possible.bmp,,,d,possible,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,5f639b571cb2830a931bc80e,60464aa8c5672f0eaf45dbc0,2021-03-08_16h04.37.448,Impossible2021,2020.1.3,Win32,60,60462d2f8138f40887a79fc4,,,d,1,1.47834,0,29,29,119,1,5,,
